"metric","value"
"n",6166
"mean_weight",0.977958747803749
"sd_weight",0.230522472846926
"min_weight",0.514183110936381
"p01",0.514202597893375
"median",0.980486535997624
"p99",1.64442044460314
"max_weight",1.64442044460314
