"var","source","n_total","n_observed","pct_observed","n_positive","n_zero"
"HLTHFSYS","ASDB",6166,3736,0.605903340901719,840,2896
"HLTHSSYS","ASDB",6166,3736,0.605903340901719,803,2933
"HLTRSYS","ASDB",6166,3736,0.605903340901719,905,2831
"HOMEHSYS","ASDB",6166,3736,0.605903340901719,1165,2571
"HOMEPSYS","ASDB",6166,3736,0.605903340901719,292,3444
"HOSPBD","ASDB",6166,6166,1,0,2
"HOSPCSYS","ASDB",6166,3736,0.605903340901719,991,2745
"ICARSYS","ASDB",6166,3736,0.605903340901719,725,3011
"ICFSYS","ASDB",6166,3736,0.605903340901719,392,3344
"ICLABHOS","ASDB",6166,3736,0.605903340901719,1404,2332
"ICUCHG","ASDB",6166,3132,0.507946805060006,142,2990
"IGRTSYS","ASDB",6166,3736,0.605903340901719,838,2898
"IMPRSYS","ASDB",6166,3736,0.605903340901719,853,2883
"IMRIHOS","ASDB",6166,3736,0.605903340901719,236,3500
"IMRTSYS","ASDB",6166,3736,0.605903340901719,832,2904
"IPALSYS","ASDB",6166,3736,0.605903340901719,426,3310
"IPASYS","ASDB",6166,3736,0.605903340901719,206,3530
"ISMSYS","ASDB",6166,3736,0.605903340901719,714,3022
"JNTCTR","ASDB",6166,863,0.139961076873175,239,624
"KDNYSYS","ASDB",6166,3736,0.605903340901719,609,3127
"LABFTE","ASDB",6166,2613,0.423775543301979,264,1808
"LBEDLA","ASDB",6166,314,0.0509244242620824,0,0
"LBEDSA","ASDB",6166,3614,0.586117418099254,0,14
"LGRPSYS","ASDB",6166,509,0.0825494648070062,509,0
"LINGSYS","ASDB",6166,3736,0.605903340901719,599,3137
"LIVRSYS","ASDB",6166,3736,0.605903340901719,445,3291
"LOCTRCLI","ASDB",6166,2962,0.480376256892637,1045,1917
"LOCTRCNA","ASDB",6166,2962,0.480376256892637,1252,1710
"LOCTRNI","ASDB",6166,2962,0.480376256892637,566,2396
"LOCTRPSN","ASDB",6166,2962,0.480376256892637,1900,1062
"LUNGSYS","ASDB",6166,3736,0.605903340901719,306,3430
"MAMMSSYS","ASDB",6166,3736,0.605903340901719,743,2993
"MEALSSYS","ASDB",6166,3736,0.605903340901719,292,3444
"MEDADN","ASDB",6166,126,0.0204346415828738,126,0
"MEDHME","ASDB",6166,3113,0.504865390853065,616,2497
"MEDHSE","ASDB",6166,3048,0.494323710671424,1238,1810
"MEDOPHOS","ASDB",6166,3736,0.605903340901719,730,3006
"MEDSUBHOS","ASDB",6166,3736,0.605903340901719,619,3117
"MEGSYS","ASDB",6166,3736,0.605903340901719,267,3469
"MMCSYS","ASDB",6166,392,0.0635744404800519,392,0
"MOHSSYS","ASDB",6166,3736,0.605903340901719,776,2960
"MRIHOS","ASDB",6166,3736,0.605903340901719,2602,1134
"MSCTGHOS","ASDB",6166,3736,0.605903340901719,2393,1343
"MSCTHOS","ASDB",6166,3736,0.605903340901719,1751,1985
"MSICBD","ASDB",6166,3736,0.605903340901719,10,1563
"MSICHOS","ASDB",6166,3736,0.605903340901719,2253,1483
"MSOSYS","ASDB",6166,3736,0.605903340901719,100,3636
"NEROSYS","ASDB",6166,3736,0.605903340901719,801,2935
"NICSYS","ASDB",6166,3736,0.605903340901719,870,2866
"NINTSYS","ASDB",6166,3736,0.605903340901719,698,3038
"NUTRPSYS","ASDB",6166,3736,0.605903340901719,662,3074
"OBSYS","ASDB",6166,3736,0.605903340901719,857,2879
"OCCHSSYS","ASDB",6166,3736,0.605903340901719,829,2907
"ONCOLSYS","ASDB",6166,3736,0.605903340901719,851,2885
"OPCENSYS","ASDB",6166,3736,0.605903340901719,887,2849
"OPHOSSYS","ASDB",6166,3736,0.605903340901719,666,3070
"OPHOSYS","ASDB",6166,3736,0.605903340901719,224,3512
"OPSRGSYS","ASDB",6166,3736,0.605903340901719,635,3101
"ORPMSYS","ASDB",6166,3736,0.605903340901719,701,3035
"ORTOSYS","ASDB",6166,3736,0.605903340901719,718,3018
"OSMGSYS","ASDB",6166,284,0.0460590334090172,284,0
"OTBONSYS","ASDB",6166,3736,0.605903340901719,545,3191
"OTHCRSYS","ASDB",6166,3736,0.605903340901719,248,3488
"OTHIC","ASDB",6166,290,0.0470321115796302,0,0
"OTHICBD","ASDB",6166,3736,0.605903340901719,1,3375
"OTHIMSYS","ASDB",6166,358,0.058060330846578,358,0
"OTHISYS","ASDB",6166,3736,0.605903340901719,566,3170
"OTHLTSYS","ASDB",6166,3736,0.605903340901719,237,3499
"OTHTSYS","ASDB",6166,3736,0.605903340901719,746,2990
"OTOTHSYS","ASDB",6166,3736,0.605903340901719,488,3248
"PAINSYS","ASDB",6166,3736,0.605903340901719,817,2919
"PALSYS","ASDB",6166,3736,0.605903340901719,829,2907
"PATEDHOS","ASDB",6166,3736,0.605903340901719,2015,1721
"PATRPSYS","ASDB",6166,3736,0.605903340901719,646,3090
"PCARDSYS","ASDB",6166,3736,0.605903340901719,652,3084
"PCASYS","ASDB",6166,3736,0.605903340901719,632,3104
"PCDEPSYS","ASDB",6166,3736,0.605903340901719,954,2782
"PCLABHOS","ASDB",6166,3736,0.605903340901719,154,3582
"PDISSYS","ASDB",6166,3736,0.605903340901719,739,2997
"PEDBD","ASDB",6166,3736,0.605903340901719,51,2817
"PEDCSHOS","ASDB",6166,3736,0.605903340901719,134,3602
"PEDEHOS","ASDB",6166,3736,0.605903340901719,159,3577
"PEDHOS","ASDB",6166,3736,0.605903340901719,1304,2432
"PEDICBD","ASDB",6166,3736,0.605903340901719,5,3445
"PEDICHOS","ASDB",6166,3736,0.605903340901719,338,3398
"PELABHOS","ASDB",6166,3736,0.605903340901719,140,3596
"PEMERSYS","ASDB",6166,3736,0.605903340901719,592,3144
"PETCTHOS","ASDB",6166,3736,0.605903340901719,904,2832
"PETSYS","ASDB",6166,3736,0.605903340901719,760,2976
"PHYSYS","ASDB",6166,378,0.0613039247486215,378,0
"PPNSYS","ASDB",6166,3736,0.605903340901719,645,3091
"PPOSTSYS","ASDB",6166,3736,0.605903340901719,791,2945
"PSCISSYS","ASDB",6166,3736,0.605903340901719,234,3502
"PSPISYS","ASDB",6166,3736,0.605903340901719,758,2978
"PSSOCSYS","ASDB",6166,3736,0.605903340901719,636,3100
"PSYCASYS","ASDB",6166,3736,0.605903340901719,684,3052
"PSYEDHOS","ASDB",6166,3736,0.605903340901719,946,2790
"PSYEMSYS","ASDB",6166,3736,0.605903340901719,823,2913
"PSYGRSYS","ASDB",6166,3736,0.605903340901719,807,2929
"PSYLSSYS","ASDB",6166,3736,0.605903340901719,828,2908
"PSYOISYS","ASDB",6166,3736,0.605903340901719,707,3029
"PSYOPSYS","ASDB",6166,3736,0.605903340901719,934,2802
"PSYPHASYS","ASDB",6166,3736,0.605903340901719,583,3153
"PSYPHCSYS","ASDB",6166,3736,0.605903340901719,405,3331
"PSYSYS","ASDB",6166,3736,0.605903340901719,874,2862
"PSYTRASYS","ASDB",6166,3736,0.605903340901719,322,3414
"PSYTRPSYS","ASDB",6166,3736,0.605903340901719,215,3521
"PTLAB","ASDB",6166,6166,1,763,1747
"PTONSYS","ASDB",6166,3736,0.605903340901719,311,3425
"PTRAD","ASDB",6166,6166,1,493,1429
"RADFTE","ASDB",6166,2659,0.431235809276679,285,1584
"RADMCHI","ASDB",6166,3736,0.605903340901719,77,3659
"RASTSYS","ASDB",6166,3736,0.605903340901719,665,3071
"RBOTSYS","ASDB",6166,3736,0.605903340901719,420,3316
"REDSHOS","ASDB",6166,3736,0.605903340901719,1078,2658
"REHABSYS","ASDB",6166,3736,0.605903340901719,906,2830
"RETIRSYS","ASDB",6166,3736,0.605903340901719,227,3509
"RHBOPSYS","ASDB",6166,3736,0.605903340901719,765,2971
"ROBOSYS","ASDB",6166,3736,0.605903340901719,779,2957
"RPRSSYS","ASDB",6166,3736,0.605903340901719,625,3111
"RSIMSYS","ASDB",6166,3736,0.605903340901719,754,2982
"RURLSYS","ASDB",6166,3736,0.605903340901719,473,3263
"SCEDL","ASDB",6166,2836,0.459941615309763,1525,1311
"SCNED","ASDB",6166,3131,0.507784625364904,1766,260
"SCTRN","ASDB",6166,2836,0.459941615309763,2514,322
"SLEPSYS","ASDB",6166,3736,0.605903340901719,870,2866
"SMGRPSYS","ASDB",6166,475,0.0770353551735323,475,0
"SNSYS","ASDB",6166,3736,0.605903340901719,602,3134
"SOCED","ASDB",6166,2907,0.471456373662018,1560,1347
"SOCNED","ASDB",6166,2907,0.471456373662018,1676,1231
"SOCTRN","ASDB",6166,2907,0.471456373662018,2415,492
"SOCWKSYS","ASDB",6166,3736,0.605903340901719,626,3110
"SPCICBD","ASDB",6166,3736,0.605903340901719,1,3140
"SPCICHOS","ASDB",6166,3736,0.605903340901719,771,2965
"SPECTHOS","ASDB",6166,3736,0.605903340901719,1440,2296
"SPHSSYS","ASDB",6166,3736,0.605903340901719,253,3483
"SPORTSYS","ASDB",6166,3736,0.605903340901719,906,2830
"SRADHOS","ASDB",6166,3736,0.605903340901719,852,2884
"STRCSYS","ASDB",6166,3736,0.605903340901719,753,2983
"SUPPGSYS","ASDB",6166,3736,0.605903340901719,807,2929
"SWBDSYS","ASDB",6166,3736,0.605903340901719,422,3314
"SYSADDR","ASDB",6166,4174,0.676938047356471,0,0
"SYSAREA","ASDB",6166,4174,0.676938047356471,0,0
"SYSCITY","ASDB",6166,4174,0.676938047356471,0,0
"SYSID","ASDB",6166,4174,0.676938047356471,0,0
"SYSNAME","ASDB",6166,4174,0.676938047356471,0,0
"SYSST","ASDB",6166,4174,0.676938047356471,0,0
"SYSTELN","ASDB",6166,4174,0.676938047356471,0,0
"SYSTEM_PRIMARY_CONTACT","ASDB",6166,4165,0.675478430100551,0,0
"SYSTITLE","ASDB",6166,4165,0.675478430100551,0,0
"SYSZIP","ASDB",6166,4174,0.676938047356471,0,0
"TCTOT","ASDB",6166,2852,0.462536490431398,169,1486
"TEENSSYS","ASDB",6166,3736,0.605903340901719,650,3086
"TISUSYS","ASDB",6166,3736,0.605903340901719,600,3136
