"var","module"
"IIRNES","M1"
"MLDEV","M2"
"MLPUBD","M1"
"MLSED","M1"
"MLTHD","M1"
"NOCAPRCDR","M1"
"OSNBHIE","M2"
"PEFAPIDNK","M1"
"PEFAPIIS","M2"
"PEFAPINO","M1"
"PEFAPIOS","M2"
"PEFAPIS","M1"
"PHRHIE","M1"
"PHRNES","M1"
"SHIEC","M1"
"SSRHIE","M1"
"SSRNES","M1"
