"term","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.773349011977811,0.113990925778594,-6.78430328287619,0.000000000011664805587516
"MSTATEFL",0.225180021570827,0.169629768489757,1.32747938982434,0.18435015325244
"MSTATEGA",-0.0467202091861105,0.192010325966725,-0.243321336760853,0.807756476654579
"MSTATEIL",0.416748832632453,0.178954137462937,2.32880244369184,0.0198695338995686
"MSTATEIN",-0.176291393099906,0.196475385512317,-0.897269612884178,0.369575067126421
"MSTATELA",-0.427189459611653,0.184920893199915,-2.31012003143326,0.0208815097287559
"MSTATEMI",0.0336218073822624,0.196900143794901,0.170755626350808,0.86441592157449
"MSTATENY",0.262895237347626,0.186569793947183,1.40909861015364,0.158806011778496
"MSTATEOH",-0.154099226371155,0.178506890388894,-0.863267664544687,0.387990318322147
"MSTATEOther",0.260473481690688,0.111644012861034,2.33307165351452,0.0196443849260445
"MSTATEPA",0.297836479864326,0.175575982308666,1.69633953316419,0.0898215977611202
"MSTATETX",-0.0287904588892343,0.136747284546695,-0.210537700874076,0.833248029950899
"BDTOT",-0.00228839365217017,0.000283723982785079,-8.06556298028435,0.000000000000000728991432059017
"BDTOT_it",0.00765431585699979,0.000420659262026832,18.1959998220877,0.0000000000000000000000000000000000000000000000000000000000000000000000000555168326281788
