"k","n_eligible","n_assigned","n_score_cols_used","weighted_withinss","avg_silhouette","min_cluster_size","max_cluster_size","size_balance"
2,3955,3955,2,3309.94394728836,0.517476877086894,1109,2846,0.389669711876318
3,3955,3955,2,1938.37349572673,0.577216922854374,157,2734,0.0574250182882224
4,3955,3955,2,1372.30808607755,0.438964669514166,134,1973,0.0679168778509883
5,3955,3955,2,1014.33850383249,0.493973040338445,70,1986,0.0352467270896274
